"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"919008021531037701","","","2017-10-14 01:12:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Artefacts in the digitisation process.","","","",""
"919004026397757440","","","2017-10-14 00:56:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Internalise everything. Codify *. Project *. Brand *. Misinterpret *. Conflict with sub-spectrum of projection of codified external. Resolve","","","",""
"918757450756579328","","","2017-10-13 08:37:00 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","(claim you don't have time to understand the opposing side, or that you in fact do understand them, better than themselves).","","","",""
"918756748080635904","","","2017-10-13 08:34:13 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Step 1: Divide the imaginary plane based on code or laws which are arbitrarily interpreted. Step 2: force people to choose a side. Step 3:","","","",""
"918514477871624192","","","2017-10-12 16:31:31 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Money doesn't account for everything, people do. Money is a vote on them accounting for you. Network protocol dated. Emotional quantisation.","","","",""
"918484423787663361","","","2017-10-12 14:32:05 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I'm too busy calling you a donkey to release my heart into a fractal receptical. Besides, in love with the taste and sound of edge abrasion.","","","",""
"918246307801849858","","","2017-10-11 22:45:54 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Influenced to choose, within in an imaginary framework which accounts for reality at a low degree, an outcome which has bearing on the real.","","","",""
"916978607192444929","","","2017-10-08 10:48:31 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Free will can be exercised within the confines of emergent space. Strength is dependent on how you model reality. How many potential errors.","","","",""
"916961202324025344","","","2017-10-08 09:39:21 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","You're interested in image in the moment. I'm interested in a holographic universe.","","","",""
"916662681452662784","","","2017-10-07 13:53:08 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","How do you codify compassion? How do you relate accurately to those you have imagined not realised? What does the balanced real plane carry?","","","",""
"916661049461497859","","","2017-10-07 13:46:39 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chains of causality. A 2 dimensional cross section. Instructions entangled with emotion. Missing recursive, emergent love. Bifurcation bloom","","","",""
"916575060835684352","","","2017-10-07 08:04:58 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","(badly damaged. Retain core elements. Emergent space limited. Attention span limited. Framed in imaginary light. Buried underneath a lie. )","","","",""
"916573615436558336","","","2017-10-07 07:59:13 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","(membrane of time forced open. Dissonant intelligences / intersection of rates. Forced me to jettison my own intelligence. Painful. Wrong.)","","","",""
"916571558734434305","","","2017-10-07 07:51:03 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I wanted to give you hope. I found it in myself after I realised I was once in love with a mirage. I believed a self evident set to be true.","","","",""
"916568619945005056","","","2017-10-07 07:39:22 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Crafted with love. Our engagement ring. In it you could see endless futures. Held in a single moment. In it you could project your heart.","","","",""
"916566530850160640","","","2017-10-07 07:31:04 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The truth I discovered as I built the bridge to reach you. Necessitates compassion. Takes time. Happens sometimes when you're in love.","","","",""
"916496961288785920","","","2017-10-07 02:54:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","It's not inescapable. Sometimes I think you just don't want to change. When all the evidence points to that being the correct decision.","","","",""
"916489118984622082","","","2017-10-07 02:23:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Time and empathy have been factored out of the equation","","","",""
"916487831186526209","","","2017-10-07 02:18:21 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","How hard is it to choose compassion? Does understanding the flow of causality in a person challenge your preconceptions? Your emergent love?","","","",""
"916484900668178432","","","2017-10-07 02:06:42 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","You may try to quantify it but with your empty word what you miss ends up as friction, a dead end where there was once an emergent heartbeat","","","",""
"916483885399232512","","","2017-10-07 02:02:40 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","You were never very good at imagining the real me. The one that existed outside of the confines of a fleeting moment. The potential in time.","","","",""
"899380738444931072","","","2017-08-20 21:20:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @astroehlein: Auschwitz personnel, 1942. People, not monsters, help make atrocities happen. https://t.co/hycVQym4f5","898824601094029312","17672825","2017-08-19 08:30:58 +0000","https://twitter.com/astroehlein/status/898824601094029312/photo/1,https://twitter.com/astroehlein/status/898824601094029312/photo/1,https://twitter.com/astroehlein/status/898824601094029312/photo/1,https://twitter.com/astroehlein/status/898824601094029312/photo/1,https://twitter.com/astroehlein/status/898824601094029312/photo/1,https://twitter.com/astroehlein/status/898824601094029312/photo/1"
